Manufacturer,Model,Engine size,Fuel type,Year of manufacture,Mileage,Price,Average_Price,Average_Mileage,Number_of_Cars,Standardized_Price
Toyota,Yaris,1.4,Petrol,2010,43111,12928,14341.099418465705,111368.92232932367,12553,-0.05488681373965228
Ford,Fiesta,1.0,Diesel,2017,38370,16257,10671.473455469377,112525.01002941963,14956,0.14788279145145145
Toyota,RAV4,2.4,Petrol,2018,24588,49125,14341.099418465705,111368.92232932367,12553,2.1498747960838323
VW,Polo,1.0,Diesel,2000,207339,1480,10361.781497383605,113511.21642291694,14906,-0.7521852337539976
Ford,Fiesta,1.0,Petrol,1990,182958,873,10671.473455469377,112525.01002941963,14956,-0.7891576429913061
VW,Passat,1.6,Diesel,1994,114647,4008,10361.781497383605,113511.21642291694,14906,-0.5982045903406271
VW,Polo,1.0,Petrol,1995,162993,1482,10361.781497383605,113511.21642291694,14906,-0.7520634136247148
VW,Golf,1.2,Petrol,2002,139884,3713,10361.781497383605,113511.21642291694,14906,-0.6161730594098297
Porsche,Cayenne,2.6,Diesel,2015,33693,54037,29103.764660789573,111638.253737064,2609,2.4490650336022166
BMW,Z4,2.2,Petrol,2004,126777,8373,24431.679089444,112858.0471394037,4964,-0.33233215818106937
Ford,Fiesta,1.2,Petrol,2010,51553,9813,10671.473455469377,112525.01002941963,14956,-0.2446216650975039
Toyota,Yaris,1.0,Petrol,2010,75821,8851,14341.099418465705,111368.92232932367,12553,-0.30321714728249693
VW,Polo,1.4,Diesel,2010,45193,11881,10361.781497383605,113511.21642291694,14906,-0.11865965141916132
VW,Polo,1.6,Petrol,1997,87723,3840,10361.781497383605,113511.21642291694,14906,-0.6084374812003764
Ford,Focus,1.8,Petrol,1993,279656,863,10671.473455469377,112525.01002941963,14956,-0.7897667436377197
VW,Golf,2.0,Hybrid,2018,25017,36957,10361.781497383605,113511.21642291694,14906,1.4087211295277047
Ford,Fiesta,1.2,Petrol,1996,111771,2543,10671.473455469377,112525.01002941963,14956,-0.6874378350402267
Toyota,Prius,1.4,Hybrid,2016,43893,29946,14341.099418465705,111368.92232932367,12553,0.9816806663270954
Toyota,Yaris,1.0,Petrol,2007,118788,5306,14341.099418465705,111368.92232932367,12553,-0.5191433264361355
Toyota,Prius,1.4,Hybrid,2016,43130,30085,14341.099418465705,111368.92232932367,12553,0.9901471653122451
VW,Passat,1.6,Diesel,1991,247911,1052,10361.781497383605,113511.21642291694,14906,-0.7782547414205018
Ford,Focus,2.0,Petrol,1991,272161,854,10671.473455469377,112525.01002941963,14956,-0.790314934219492
VW,Passat,1.6,Diesel,1994,179361,2371,10361.781497383605,113511.21642291694,14906,-0.6979143661585414
Ford,Fiesta,1.0,Petrol,2009,66424,7616,10671.473455469377,112525.01002941963,14956,-0.3784410771145826
Ford,Mondeo,1.8,Diesel,1999,104544,6058,10671.473455469377,112525.01002941963,14956,-0.4733389578258291
Toyota,Yaris,1.0,Hybrid,1999,80589,4937,14341.099418465705,111368.92232932367,12553,-0.5416191402887991
Ford,Mondeo,1.4,Diesel,2000,128137,4771,10671.473455469377,112525.01002941963,14956,-0.5517302110192657
Porsche,718 Cayman,2.0,Petrol,1992,169078,3074,29103.764660789573,111638.253737064,2609,-0.6550945907156619
VW,Passat,1.6,Petrol,2016,64344,23641,10361.781497383605,113511.21642291694,14906,0.5976427087632897
VW,Passat,1.6,Diesel,1993,176456,2274,10361.781497383605,113511.21642291694,14906,-0.7038226424287538
Ford,Focus,1.4,Petrol,1985,179526,1105,10671.473455469377,112525.01002941963,14956,-0.7750265079945093
Toyota,RAV4,1.8,Hybrid,1999,162425,5396,14341.099418465705,111368.92232932367,12553,-0.5136614206184127
Porsche,718 Cayman,2.4,Petrol,2021,14070,69526,29103.764660789573,111638.253737064,2609,3.3925010248323177
BMW,Z4,2.4,Petrol,1993,226492,1799,24431.679089444,112858.0471394037,4964,-0.7327549231334022
Ford,Fiesta,1.2,Petrol,1995,183332,1330,10671.473455469377,112525.01002941963,14956,-0.7613217434502023
VW,Golf,2.0,Petrol,1990,118673,2543,10361.781497383605,113511.21642291694,14906,-0.6874378350402267
Toyota,Prius,1.0,Hybrid,1993,333629,478,14341.099418465705,111368.92232932367,12553,-0.8132171185246452
VW,Passat,1.8,Diesel,1991,155034,2526,10361.781497383605,113511.21642291694,14906,-0.6884733061391298
Toyota,Yaris,1.2,Petrol,1990,200892,947,14341.099418465705,111368.92232932367,12553,-0.784650298207845
Ford,Focus,1.8,Petrol,2020,22371,40336,10671.473455469377,112525.01002941963,14956,1.6145362379508765
Ford,Mondeo,1.6,Diesel,2015,21834,28435,10671.473455469377,112525.01002941963,14956,0.8896455586539931
Ford,Focus,1.0,Petrol,1985,223615,633,10671.473455469377,112525.01002941963,14956,-0.8037760585052336
Ford,Mondeo,1.6,Diesel,2007,100798,10008,10671.473455469377,112525.01002941963,14956,-0.23274420249243777
BMW,Z4,2.4,Petrol,1997,103758,6532,24431.679089444,112858.0471394037,4964,-0.44446758718582213
Ford,Fiesta,1.2,Petrol,1997,156919,1901,10671.473455469377,112525.01002941963,14956,-0.7265420965399829
Toyota,Yaris,1.0,Petrol,2008,42621,9591,14341.099418465705,111368.92232932367,12553,-0.2581436994478869
VW,Passat,1.4,Diesel,2010,64359,15563,10361.781497383605,113511.21642291694,14906,0.1056112065903442
Ford,Focus,2.0,Petrol,2002,180048,4086,10671.473455469377,112525.01002941963,14956,-0.5934536052986007
Ford,Mondeo,1.6,Hybrid,2005,142689,7247,10671.473455469377,112525.01002941963,14956,-0.4009168909672462
VW,Passat,1.6,Diesel,2018,22122,36634,10361.781497383605,113511.21642291694,14906,1.3890471786485439
BMW,M5,4.4,Petrol,1987,226046,2956,24431.679089444,112858.0471394037,4964,-0.662281978343343
Ford,Focus,1.4,Petrol,1987,236315,763,10671.473455469377,112525.01002941963,14956,-0.7958577501018562
BMW,M5,4.4,Petrol,2008,109941,31711,24431.679089444,112858.0471394037,4964,1.0891869304191044
Ford,Fiesta,1.0,Petrol,2009,61615,7859,10671.473455469377,112525.01002941963,14956,-0.3636399314067309
Ford,Focus,1.8,Diesel,1989,297635,585,10671.473455469377,112525.01002941963,14956,-0.8066997416080192
Toyota,Prius,1.8,Hybrid,1995,112413,5238,14341.099418465705,111368.92232932367,12553,-0.5232852108317483
Ford,Fiesta,1.2,Petrol,2008,96911,6318,10671.473455469377,112525.01002941963,14956,-0.4575023410190742
VW,Passat,1.6,Diesel,1990,223561,1229,10361.781497383605,113511.21642291694,14906,-0.7674736599789801
VW,Passat,1.4,Diesel,2020,21413,39310,10361.781497383605,113511.21642291694,14906,1.5520425116288363
BMW,Z4,2.2,Petrol,2018,32319,40706,24431.679089444,112858.0471394037,4964,1.6370729618681816
Toyota,RAV4,2.4,Petrol,2021,6829,66031,14341.099418465705,111368.92232932367,12553,3.1796203489107473
VW,Polo,1.6,Petrol,2010,108111,7878,10361.781497383605,113511.21642291694,14906,-0.362482640178545
Ford,Mondeo,1.6,Diesel,1998,137896,4132,10671.473455469377,112525.01002941963,14956,-0.5906517423250979
Ford,Focus,1.6,Petrol,2013,66163,18269,10671.473455469377,112525.01002941963,14956,0.2704338415098776
VW,Passat,1.6,Diesel,2010,66410,16414,10361.781497383605,113511.21642291694,14906,0.15744567160014572
BMW,Z4,2.2,Petrol,2014,61332,26084,24431.679089444,112858.0471394037,4964,0.7464459966821442
Toyota,RAV4,2.4,Petrol,2016,34379,40646,14341.099418465705,111368.92232932367,12553,1.6334183579896997
Porsche,911,3.5,Petrol,2003,107705,24378,29103.764660789573,111638.253737064,2609,0.6425334264039757
VW,Golf,1.8,Diesel,2014,28530,23034,10361.781497383605,113511.21642291694,14906,0.5606702995259812
VW,Passat,1.6,Diesel,2015,57933,24207,10361.781497383605,113511.21642291694,14906,0.6321178053503023
BMW,Z4,2.4,Petrol,1997,146910,4671,24431.679089444,112858.0471394037,4964,-0.5578212174834022
Toyota,Prius,1.4,Hybrid,2001,152067,5040,14341.099418465705,111368.92232932367,12553,-0.5353454036307386
BMW,M5,4.0,Petrol,2003,123913,19474,24431.679089444,112858.0471394037,4964,0.34383046940272227
Toyota,RAV4,1.8,Hybrid,2005,119097,11398,14341.099418465705,111368.92232932367,12553,-0.14807921264094057
VW,Golf,1.2,Diesel,2008,97150,8066,10361.781497383605,113511.21642291694,14906,-0.35103154802596837
Ford,Focus,2.0,Petrol,2010,86405,14567,10671.473455469377,112525.01002941963,14956,0.04494478220754477
Toyota,Yaris,1.2,Hybrid,2001,85798,5959,14341.099418465705,111368.92232932367,12553,-0.4793690542253242
VW,Golf,2.0,Diesel,2015,50628,22743,10361.781497383605,113511.21642291694,14906,0.5429454707153442
BMW,Z4,3.0,Petrol,2014,80934,26708,24431.679089444,112858.0471394037,4964,0.7844538770183559
VW,Polo,1.0,Petrol,1998,97043,3036,10361.781497383605,113511.21642291694,14906,-0.6574091731720337
Toyota,Yaris,1.0,Petrol,2001,58770,5438,14341.099418465705,111368.92232932367,12553,-0.5111031979034754
VW,Passat,1.8,Petrol,2008,84855,12800,10361.781497383605,113511.21642291694,14906,-0.06268330201374699
VW,Passat,1.6,Diesel,2014,50898,23677,10361.781497383605,113511.21642291694,14906,0.5998354710903789
Ford,Focus,1.6,Diesel,1998,152532,3704,10671.473455469377,112525.01002941963,14956,-0.616721249991602
Toyota,RAV4,1.8,Hybrid,2001,212899,3981,14341.099418465705,111368.92232932367,12553,-0.599849162085944
VW,Golf,1.6,Petrol,2001,140596,3988,10361.781497383605,113511.21642291694,14906,-0.5994227916334544
Porsche,718 Cayman,2.4,Petrol,1988,256489,1183,29103.764660789573,111638.253737064,2609,-0.7702755229524829
BMW,X3,3.0,Petrol,2018,20441,53379,24431.679089444,112858.0471394037,4964,2.4089862110681985
Toyota,Yaris,1.2,Petrol,1986,147185,1145,14341.099418465705,111368.92232932367,12553,-0.7725901054088548
BMW,M5,4.4,Petrol,1997,172030,9255,24431.679089444,112858.0471394037,4964,-0.27860948116738554
Ford,Focus,1.8,Petrol,2005,149956,6094,10671.473455469377,112525.01002941963,14956,-0.47114619549873993
VW,Passat,1.6,Diesel,2009,134426,9345,10361.781497383605,113511.21642291694,14906,-0.2731275753496627
Toyota,RAV4,1.8,Hybrid,2010,91688,19491,14341.099418465705,111368.92232932367,12553,0.3448659405016255
Toyota,Prius,1.8,Hybrid,2005,41969,16500,14341.099418465705,111368.92232932367,12553,0.1626839371593031
VW,Passat,2.0,Petrol,2013,38210,25482,10361.781497383605,113511.21642291694,14906,0.7097781377680425
Toyota,Prius,1.0,Hybrid,2012,46972,19023,14341.099418465705,111368.92232932367,12553,0.31636003024946674
BMW,X3,2.0,Diesel,2018,27389,44018,24431.679089444,112858.0471394037,4964,1.8388070959603822
VW,Polo,2.0,Petrol,1995,128234,2778,10361.781497383605,113511.21642291694,14906,-0.673123969849506
VW,Passat,1.4,Diesel,2008,112309,9705,10361.781497383605,113511.21642291694,14906,-0.2511999520787713
VW,Polo,1.4,Petrol,1984,225099,489,10361.781497383605,113511.21642291694,14906,-0.8125471078135902
Porsche,Cayenne,2.6,Diesel,2003,105361,15069,29103.764660789573,111638.253737064,2609,0.07552163465750994
Ford,Focus,1.4,Petrol,2005,97979,8039,10671.473455469377,112525.01002941963,14956,-0.3526761197712852
Ford,Mondeo,1.6,Petrol,2016,40104,26053,10671.473455469377,112525.01002941963,14956,0.744557784678262
VW,Passat,2.0,Petrol,1993,158259,2822,10361.781497383605,113511.21642291694,14906,-0.6704439270052859
Porsche,718 Cayman,4.0,Petrol,2018,20634,70913,29103.764660789573,111638.253737064,2609,3.4769832844898905
BMW,Z4,2.0,Petrol,2010,98644,14728,24431.679089444,112858.0471394037,4964,0.054751302614804515
Ford,Focus,2.0,Petrol,1991,176358,2025,10671.473455469377,112525.01002941963,14956,-0.7189892485244537
Ford,Mondeo,1.8,Diesel,1998,69223,7267,10671.473455469377,112525.01002941963,14956,-0.3996986896744189
BMW,X3,3.0,Petrol,2008,20860,27342,24431.679089444,112858.0471394037,4964,0.8230708580009812
Toyota,RAV4,2.0,Petrol,2009,59936,19881,14341.099418465705,111368.92232932367,12553,0.3686208657117578
VW,Polo,1.4,Petrol,2012,58214,11916,10361.781497383605,113511.21642291694,14906,-0.11652779915671356
Ford,Fiesta,1.4,Petrol,2020,33832,22982,10671.473455469377,112525.01002941963,14956,0.5575029761646303
VW,Golf,1.2,Diesel,2009,104436,8174,10361.781497383605,113511.21642291694,14906,-0.344453261044701
BMW,Z4,2.0,Petrol,1992,249377,1246,24431.679089444,112858.0471394037,4964,-0.766438188880077
Porsche,Cayenne,2.6,Petrol,2003,143603,10667,29103.764660789573,111638.253737064,2609,-0.1926044698937783
Ford,Mondeo,1.8,Diesel,2007,115932,9481,10671.473455469377,112525.01002941963,14956,-0.26484380655843703
Ford,Fiesta,1.4,Petrol,2016,61363,14854,10671.473455469377,112525.01002941963,14956,0.06242597075961649
VW,Polo,2.0,Petrol,2016,17810,23636,10361.781497383605,113511.21642291694,14906,0.597338158440083
Toyota,RAV4,1.8,Hybrid,2021,8120,68163,14341.099418465705,111368.92232932367,12553,3.309480606726137
VW,Polo,2.0,Petrol,1990,142888,1771,10361.781497383605,113511.21642291694,14906,-0.7344604049433604
Toyota,Yaris,1.0,Petrol,2009,68094,8721,14341.099418465705,111368.92232932367,12553,-0.31113545568587436
Ford,Mondeo,2.0,Diesel,2016,51724,28482,10671.473455469377,112525.01002941963,14956,0.8925083316921372
VW,Polo,1.0,Petrol,1998,224106,1062,10361.781497383605,113511.21642291694,14906,-0.777645640774088
Ford,Fiesta,1.0,Petrol,2009,83796,6768,10671.473455469377,112525.01002941963,14956,-0.43009281193046
Toyota,RAV4,2.2,Hybrid,2012,91325,24685,14341.099418465705,111368.92232932367,12553,0.6612328162488748
VW,Passat,2.0,Diesel,1997,173089,3416,10361.781497383605,113511.21642291694,14906,-0.6342633486083151
Ford,Focus,2.0,Diesel,2013,75451,20153,10671.473455469377,112525.01002941963,14956,0.38518840329420906
Toyota,Prius,1.0,Hybrid,2006,103766,8671,14341.099418465705,111368.92232932367,12553,-0.3141809589179426
Ford,Mondeo,1.6,Diesel,2014,82221,18224,10671.473455469377,112525.01002941963,14956,0.2676928886010162
VW,Passat,1.6,Diesel,1985,19000,4129,10361.781497383605,113511.21642291694,14906,-0.590834472519022
Toyota,RAV4,2.4,Hybrid,2012,94338,25232,14341.099418465705,111368.92232932367,12553,0.6945506216077013
Porsche,Cayenne,2.6,Diesel,2019,20147,76182,29103.764660789573,111638.253737064,2609,3.7979184150852423
VW,Polo,1.2,Diesel,2018,37411,19649,10361.781497383605,113511.21642291694,14906,0.35448973071496115
Toyota,Yaris,1.2,Petrol,2004,179016,2914,14341.099418465705,111368.92232932367,12553,-0.6648402010582803
Porsche,718 Cayman,2.0,Petrol,1999,206584,3542,29103.764660789573,111638.253737064,2609,-0.6265886804635031
Toyota,Prius,1.0,Hybrid,1996,87664,5001,14341.099418465705,111368.92232932367,12553,-0.5377208961517518
Ford,Mondeo,1.8,Diesel,2016,29439,30886,10671.473455469377,112525.01002941963,14956,1.0389361270899784
Ford,Focus,1.0,Diesel,2006,120770,6429,10671.473455469377,112525.01002941963,14956,-0.4507413238438827
Ford,Mondeo,1.6,Diesel,1998,246137,1614,10671.473455469377,112525.01002941963,14956,-0.7440232850920546
Toyota,Prius,1.4,Hybrid,2012,72136,19139,14341.099418465705,111368.92232932367,12553,0.32342559774786506
Ford,Focus,2.0,Diesel,2001,147478,5272,10671.473455469377,112525.01002941963,14956,-0.5212142686339419
BMW,Z4,2.4,Petrol,1997,149908,4558,24431.679089444,112858.0471394037,4964,-0.5647040547878764
BMW,M5,4.4,Petrol,1997,66783,20664,24431.679089444,112858.0471394037,4964,0.4163134463259465
Ford,Mondeo,1.4,Diesel,2020,18929,37720,10671.473455469377,112525.01002941963,14956,1.455195508849066
VW,Golf,1.4,Diesel,2013,53405,16365,10361.781497383605,113511.21642291694,14906,0.15446107843271883
VW,Golf,1.4,Diesel,2001,136439,4049,10361.781497383605,113511.21642291694,14906,-0.5957072776903312
VW,Polo,1.2,Petrol,2001,110779,3670,10361.781497383605,113511.21642291694,14906,-0.6187921921894084
VW,Golf,2.0,Petrol,1991,188856,1528,10361.781497383605,113511.21642291694,14906,-0.749261550651212
Toyota,Yaris,1.0,Hybrid,2013,12867,19025,14341.099418465705,111368.92232932367,12553,0.31648185037874943
Ford,Focus,2.0,Diesel,1994,162098,2930,10671.473455469377,112525.01002941963,14956,-0.6638656400240185
Ford,Mondeo,1.6,Diesel,2013,79521,17370,10671.473455469377,112525.01002941963,14956,0.21567569339729056
Ford,Mondeo,1.8,Diesel,2011,97523,14195,10671.473455469377,112525.01002941963,14956,0.022286238160957032
VW,Golf,1.6,Petrol,1994,104541,3304,10361.781497383605,113511.21642291694,14906,-0.641085275848148
VW,Golf,1.6,Petrol,2016,57451,19835,10361.781497383605,113511.21642291694,14906,0.365819002738255
Toyota,Yaris,1.2,Petrol,2003,104794,4947,14341.099418465705,111368.92232932367,12553,-0.5410100396423855
Toyota,Yaris,1.0,Petrol,2002,227469,1517,14341.099418465705,111368.92232932367,12553,-0.749931561362267
VW,Passat,1.8,Diesel,2006,81107,12073,10361.781497383605,113511.21642291694,14906,-0.10696491900801927
Ford,Fiesta,1.2,Petrol,2008,79566,7142,10671.473455469377,112525.01002941963,14956,-0.4073124477545895
Toyota,Yaris,1.4,Petrol,2007,85068,8043,14341.099418465705,111368.92232932367,12553,-0.3524324795127198
Toyota,RAV4,2.0,Hybrid,2000,123838,8299,14341.099418465705,111368.92232932367,12553,-0.33683950296453036
Toyota,RAV4,2.2,Hybrid,2014,66511,33453,14341.099418465705,111368.92232932367,12553,1.195292263024362
VW,Passat,1.6,Diesel,1999,207639,2584,10361.781497383605,113511.21642291694,14906,-0.6849405223899308
BMW,X3,3.0,Diesel,1990,150375,3510,24431.679089444,112858.0471394037,4964,-0.6285378025320268
VW,Passat,1.4,Diesel,2013,70458,18256,10361.781497383605,113511.21642291694,14906,0.26964201066953986
Toyota,Prius,1.8,Hybrid,2016,44550,33820,14341.099418465705,111368.92232932367,12553,1.217646256747743
VW,Passat,1.6,Petrol,2012,53390,19428,10361.781497383605,113511.21642291694,14906,0.3410286064292195
Porsche,Cayenne,2.6,Diesel,2015,46563,50028,29103.764660789573,111638.253737064,2609,2.204876584454985
Ford,Fiesta,1.0,Petrol,2002,184586,1916,10671.473455469377,112525.01002941963,14956,-0.7256284455703624
Ford,Fiesta,1.2,Petrol,2004,160915,2933,10671.473455469377,112525.01002941963,14956,-0.6636829098300944
Toyota,Yaris,1.0,Hybrid,2022,5179,36086,14341.099418465705,111368.92232932367,12553,1.355668463225076
Toyota,Yaris,1.4,Hybrid,2003,181179,3468,14341.099418465705,111368.92232932367,12553,-0.6310960252469642
VW,Polo,1.4,Petrol,2019,23181,23449,10361.781497383605,113511.21642291694,14906,0.5859479763521477
Toyota,Yaris,1.4,Hybrid,2016,66611,19942,14341.099418465705,111368.92232932367,12553,0.37233637965488103
VW,Golf,1.8,Hybrid,1999,105901,5810,10361.781497383605,113511.21642291694,14906,-0.48844465385688757
Ford,Focus,1.4,Diesel,2014,24652,24721,10671.473455469377,112525.01002941963,14956,0.6634255785759638
Toyota,Yaris,1.0,Petrol,1995,255196,737,14341.099418465705,111368.92232932367,12553,-0.7974414117825317
VW,Polo,1.0,Petrol,2014,24579,14089,10361.781497383605,113511.21642291694,14906,0.015829771308972354
Toyota,RAV4,1.8,Petrol,2021,21354,52908,14341.099418465705,111368.92232932367,12553,2.380297570622116
VW,Golf,2.0,Petrol,1991,117615,2741,10361.781497383605,113511.21642291694,14906,-0.6753776422412364
Ford,Focus,2.0,Petrol,1999,135077,4855,10671.473455469377,112525.01002941963,14956,-0.546613765589391
Toyota,RAV4,2.0,Hybrid,2006,94325,15441,14341.099418465705,111368.92232932367,12553,0.09818017870409769
Ford,Fiesta,1.4,Petrol,2010,96320,7831,10671.473455469377,112525.01002941963,14956,-0.3653454132166891
VW,Golf,1.6,Petrol,1990,137231,1967,10361.781497383605,113511.21642291694,14906,-0.7225220322736529
Toyota,RAV4,2.2,Hybrid,2015,35448,43415,14341.099418465705,111368.92232932367,12553,1.8020783269816392
Toyota,RAV4,2.0,Hybrid,1995,142544,5129,14341.099418465705,111368.92232932367,12553,-0.529924407877657
BMW,M5,4.0,Petrol,2012,46755,60859,24431.679089444,112858.0471394037,4964,2.864593494585608
VW,Polo,1.6,Petrol,2001,97700,4668,10361.781497383605,113511.21642291694,14906,-0.5580039476773263
BMW,M5,5.0,Petrol,2016,42059,91415,24431.679089444,112858.0471394037,4964,4.725761429767154
VW,Polo,1.6,Petrol,2012,48576,13537,10361.781497383605,113511.21642291694,14906,-0.01779258437306107
VW,Polo,1.4,Petrol,2006,76691,7067,10361.781497383605,113511.21642291694,14906,-0.4118807026026919
Toyota,RAV4,1.8,Hybrid,2017,15473,50215,14341.099418465705,111368.92232932367,12553,2.2162667665429203
Ford,Focus,2.0,Petrol,2000,110549,6273,10671.473455469377,112525.01002941963,14956,-0.4602432939279356
Ford,Fiesta,1.0,Petrol,1992,183342,994,10671.473455469377,112525.01002941963,14956,-0.7817875251697008
Ford,Focus,1.4,Petrol,2012,94259,13169,10671.473455469377,112525.01002941963,14956,-0.04020748816108335
Ford,Mondeo,1.4,Diesel,2018,42017,28904,10671.473455469377,112525.01002941963,14956,0.9182123789707932
VW,Golf,1.2,Petrol,1990,159547,1420,10361.781497383605,113511.21642291694,14906,-0.7558398376324794
VW,Polo,1.4,Petrol,2000,73749,4833,10361.781497383605,113511.21642291694,14906,-0.5479537870115011
Toyota,Yaris,1.0,Hybrid,2009,63292,10802,14341.099418465705,111368.92232932367,12553,-0.18438161116719404
VW,Passat,1.4,Diesel,2013,71904,18080,10361.781497383605,113511.21642291694,14906,0.2589218392926596
Ford,Mondeo,1.4,Diesel,2006,159969,5504,10671.473455469377,112525.01002941963,14956,-0.5070831336371452
Toyota,Yaris,1.2,Petrol,2013,75588,11861,14341.099418465705,111368.92232932367,12553,-0.11987785271198863
Ford,Mondeo,1.4,Diesel,2018,18334,33119,10671.473455469377,112525.01002941963,14956,1.1749483014341462
VW,Polo,1.2,Petrol,1995,175506,1460,10361.781497383605,113511.21642291694,14906,-0.7534034350468248
